"","CTYNAME","age_grp","N0","V0_1","V0_2","V0_3","V0_4","V0_5","V0_6","V0_7","S0_1","S0_2","S0_3","S0_4","S0_5","S0_6","S0_7","R0","theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7"
"82","Caldwell","0_4",3104,3034,2569,3024,3104,2879,2724,3104,70,535,80,0,225,380,0,0,2,1,2,2,2,2,2
"83","Caldwell","20",36880,36052,30520,35934,36880,34208,32364,36880,828,6360,946,0,2672,4516,0,0,0,0,0,0,0,0,0
"84","Caldwell","5_19",9875,7519,6365,7497,7691,7134,6750,7691,2356,3510,2378,2184,2741,3125,2184,0,0,0,0,0,0,0,0
"85","Calhoun","0_4",1187,1177,999,1157,1187,1117,1058,1187,10,188,30,0,70,129,0,0,1,1,1,1,1,1,1
"86","Calhoun","20",14702,14576,12370,14325,14702,13840,13105,14702,126,2332,377,0,862,1597,0,0,0,0,0,0,0,0,0
"87","Calhoun","5_19",3807,3023,2566,2973,3049,2870,2718,3049,784,1241,834,758,937,1089,758,0,0,0,0,0,0,0,0
"88","Callahan","0_4",738,712,601,719,738,675,638,738,26,137,19,0,63,100,0,0,0,0,0,0,0,0,0
"89","Callahan","20",10964,10574,8929,10683,10964,10026,9478,10964,390,2035,281,0,938,1486,0,0,0,0,0,0,0,0,0
"90","Callahan","5_19",2672,2126,1796,2148,2182,2016,1906,2197,546,876,524,490,656,766,475,0,0,0,0,0,0,0,0
"91","Cameron","0_4",29717,29536,25078,28955,29717,28050,26564,29717,181,4639,762,0,1667,3153,0,0,16,14,15,16,15,14,16
"92","Cameron","20",292565,290780,246896,285061,292565,276152,261524,292565,1785,45669,7504,0,16413,31041,0,0,0,0,0,0,0,0,0
"93","Cameron","5_19",104428,82788,70296,81199,83284,78624,74460,83284,21640,34132,23229,21144,25804,29968,21144,0,0,0,0,0,0,0,0
"94","Camp","0_4",964,952,808,939,964,904,856,964,12,156,25,0,60,108,0,0,1,0,1,1,0,0,1
