"","CTYNAME","age_grp","N0","V0_1","V0_2","V0_3","V0_4","V0_5","V0_6","V0_7","S0_1","S0_2","S0_3","S0_4","S0_5","S0_6","S0_7","R0","theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7"
"417","Lamar","5_19",10378,8323,7050,8273,8490,7899,7474,8490,2055,3328,2105,1888,2479,2904,1888,0,0,0,0,0,0,0,0
"418","Lamb","0_4",816,808,685,795,816,767,726,816,8,131,21,0,49,90,0,0,0,0,0,0,0,0,0
"419","Lamb","20",8906,8816,7481,8678,8906,8371,7926,8906,90,1425,228,0,535,980,0,0,0,0,0,0,0,0,0
"420","Lamb","5_19",2989,2391,2029,2355,2414,2271,2150,2414,598,960,634,575,718,839,575,0,0,0,0,0,0,0,0
"421","Lampasas","0_4",1120,1068,900,1091,1120,1012,956,1120,52,220,29,0,108,164,0,0,1,0,1,1,1,1,1
"422","Lampasas","20",17849,17012,14335,17391,17849,16120,15228,17849,837,3514,458,0,1729,2621,0,0,0,0,0,0,0,0,0
"423","Lampasas","5_19",4293,3323,2800,3400,3454,3148,2974,3457,970,1493,893,839,1145,1319,836,0,0,0,0,0,0,0,0
"424","Lavaca","0_4",1252,1220,1032,1220,1252,1158,1095,1252,32,220,32,0,94,157,0,0,1,1,1,1,1,1,1
"425","Lavaca","20",15278,14889,12597,14886,15278,14125,13361,15278,389,2681,392,0,1153,1917,0,0,0,0,0,0,0,0,0
"426","Lavaca","5_19",4041,3177,2689,3175,3233,3014,2851,3245,864,1352,866,808,1027,1190,796,0,0,0,0,0,0,0,0
"427","Lee","0_4",1015,995,843,989,1015,944,894,1015,20,172,26,0,71,121,0,0,1,0,1,1,1,0,1
"428","Lee","20",13953,13680,11587,13595,13953,12982,12285,13953,273,2366,358,0,971,1668,0,0,0,0,0,0,0,0,0
"429","Lee","5_19",3272,2502,2120,2488,2552,2375,2247,2552,770,1152,784,720,897,1025,720,0,0,0,0,0,0,0,0
"430","Leon","0_4",957,937,794,932,957,890,842,957,20,163,25,0,67,115,0,0,0,0,0,1,0,0,1
"431","Leon","20",12388,12134,10276,12070,12388,11515,10895,12388,254,2112,318,0,873,1493,0,0,0,0,0,0,0,0,0
"432","Leon","5_19",3193,2576,2182,2562,2613,2445,2314,2625,617,1011,631,580,748,879,568,0,0,0,0,0,0,0,0
"433","Liberty","0_4",8129,8003,6783,7920,8129,7596,7190,8129,126,1346,209,0,533,939,0,0,4,3,4,4,4,4,4
"434","Liberty","20",72416,71291,60429,70559,72416,67670,64050,72416,1125,11987,1857,0,4746,8366,0,0,0,0,0,0,0,0,0
"435","Liberty","5_19",27727,22640,19192,22412,22990,21491,20341,22990,5087,8535,5315,4737,6236,7386,4737,0,0,0,0,0,0,0,0
"436","Limestone","0_4",1255,1236,1048,1223,1255,1173,1110,1255,19,207,32,0,82,145,0,0,1,1,1,1,1,1,1
"437","Limestone","20",16747,16493,13981,16317,16747,15656,14818,16747,254,2766,430,0,1091,1929,0,0,0,0,0,0,0,0,0
"438","Limestone","5_19",4248,3410,2891,3373,3446,3237,3064,3454,838,1357,875,802,1011,1184,794,0,0,0,0,0,0,0,0
"439","Lipscomb","0_4",173,168,142,169,173,159,151,173,5,31,4,0,14,22,0,0,0,0,0,0,0,0,0
"440","Lipscomb","20",2099,2038,1723,2045,2099,1933,1828,2099,61,376,54,0,166,271,0,0,0,0,0,0,0,0,0
"441","Lipscomb","5_19",634,489,414,490,498,464,439,499,145,220,144,136,170,195,135,0,0,0,0,0,0,0,0
"442","Live Oak","0_4",541,533,452,527,541,506,479,541,8,89,14,0,35,62,0,0,0,0,0,0,0,0,0
"443","Live Oak","20",9198,9070,7691,8962,9198,8611,8151,9198,128,1507,236,0,587,1047,0,0,0,0,0,0,0,0,0
"444","Live Oak","5_19",1845,1495,1268,1478,1516,1420,1344,1516,350,577,367,329,425,501,329,0,0,0,0,0,0,0,0
"445","Llano","0_4",984,949,802,959,984,900,851,984,35,182,25,0,84,133,0,0,1,0,1,1,0,0,1
"446","Llano","20",18992,18321,15472,18505,18992,17371,16422,18992,671,3520,487,0,1621,2570,0,0,0,0,0,0,0,0,0
"447","Llano","5_19",2899,2269,1916,2291,2334,2151,2034,2337,630,983,608,565,748,865,562,0,0,0,0,0,0,0,0
"448","Lubbock","0_4",19829,19324,16349,19320,19829,18332,17341,19829,505,3480,509,0,1497,2488,0,0,10,9,11,11,10,9,11
"449","Lubbock","20",232217,226297,191465,226261,232217,214687,203076,232217,5920,40752,5956,0,17530,29141,0,0,0,0,0,0,0,0,0
"450","Lubbock","5_19",68894,49525,41906,49519,50569,46985,44446,50688,19369,26988,19375,18325,21909,24448,18206,0,0,0,0,0,0,0,0
"451","Lynn","0_4",381,367,310,371,381,348,329,381,14,71,10,0,33,52,0,0,0,0,0,0,0,0,0
"452","Lynn","20",4011,3860,3259,3908,4011,3660,3459,4011,151,752,103,0,351,552,0,0,0,0,0,0,0,0,0
"453","Lynn","5_19",1369,1100,929,1113,1131,1043,986,1135,269,440,256,238,326,383,234,0,0,0,0,0,0,0,0
"454","Madison","0_4",920,912,774,896,920,866,820,920,8,146,24,0,54,100,0,0,1,0,0,1,0,0,1
"455","Madison","20",10314,10222,8675,10049,10314,9706,9190,10314,92,1639,265,0,608,1124,0,0,0,0,0,0,0,0,0
"456","Madison","5_19",2508,1964,1667,1933,1982,1865,1766,1982,544,841,575,526,643,742,526,0,0,0,0,0,0,0,0
"457","Marion","0_4",411,406,344,400,411,386,365,411,5,67,11,0,25,46,0,0,0,0,0,0,0,0,0
"458","Marion","20",7667,7576,6426,7470,7667,7193,6810,7667,91,1241,197,0,474,857,0,0,0,0,0,0,0,0,0
"459","Marion","5_19",1493,1194,1013,1178,1207,1133,1073,1207,299,480,315,286,360,420,286,0,0,0,0,0,0,0,0
"460","Martin","0_4",350,337,284,341,350,319,302,350,13,66,9,0,31,48,0,0,0,0,0,0,0,0,0
"461","Martin","20",3423,3293,2780,3335,3423,3122,2951,3423,130,643,88,0,301,472,0,0,0,0,0,0,0,0,0
"462","Martin","5_19",1443,1158,978,1176,1202,1098,1038,1196,285,465,267,241,345,405,247,0,0,0,0,0,0,0,0
"463","Mason","0_4",165,158,133,161,165,149,141,165,7,32,4,0,16,24,0,0,0,0,0,0,0,0,0
"464","Mason","20",3113,2974,2507,3033,3113,2818,2662,3113,139,606,80,0,295,451,0,0,0,0,0,0,0,0,0
"465","Mason","5_19",653,490,413,500,506,465,439,507,163,240,153,147,188,214,146,0,0,0,0,0,0,0,0
"466","Matagorda","0_4",2636,2593,2198,2568,2636,2462,2330,2636,43,438,68,0,174,306,0,0,2,1,2,2,1,1,2
"467","Matagorda","20",26018,25597,21694,25351,26018,24296,22995,26018,421,4324,667,0,1722,3023,0,0,0,0,0,0,0,0,0
"468","Matagorda","5_19",7705,6221,5273,6162,6323,5905,5589,6323,1484,2432,1543,1382,1800,2116,1382,0,0,0,0,0,0,0,0
"469","Maverick","0_4",4886,4859,4127,4761,4886,4615,4371,4886,27,759,125,0,271,515,0,0,3,2,3,3,2,2,3
"470","Maverick","20",38090,37883,32170,37113,38090,35979,34074,38090,207,5920,977,0,2111,4016,0,0,0,0,0,0,0,0,0
"471","Maverick","5_19",14786,11867,10077,11621,11933,11270,10673,11933,2919,4709,3165,2853,3516,4113,2853,0,0,0,0,0,0,0,0
"472","McCulloch","0_4",362,350,296,353,362,332,314,362,12,66,9,0,30,48,0,0,0,0,0,0,0,0,0
"473","McCulloch","20",5740,5554,4693,5593,5740,5267,4980,5740,186,1047,147,0,473,760,0,0,0,0,0,0,0,0,0
"474","McCulloch","5_19",1350,1069,904,1077,1096,1014,959,1102,281,446,273,254,336,391,248,0,0,0,0,0,0,0,0
"475","McLennan","0_4",17117,16777,14210,16678,17117,15921,15066,17117,340,2907,439,0,1196,2051,0,0,9,8,9,10,9,8,10
"476","McLennan","20",193354,189516,160513,188395,193354,179848,170181,193354,3838,32841,4959,0,13506,23173,0,0,0,0,0,0,0,0,0
"477","McLennan","5_19",58112,42404,35916,42159,43256,40241,38078,43256,15708,22196,15953,14856,17871,20034,14856,0,0,0,0,0,0,0,0
"478","McMullen","0_4",27,26,22,26,27,25,23,27,1,5,1,0,2,4,0,0,0,0,0,0,0,0,0
"479","McMullen","20",428,413,349,417,428,391,370,428,15,79,11,0,37,58,0,0,0,0,0,0,0,0,0
"480","McMullen","5_19",113,74,63,75,76,70,66,77,39,50,38,37,43,47,36,0,0,0,0,0,0,0,0
"481","Medina","0_4",3043,2993,2536,2965,3043,2840,2688,3043,50,507,78,0,203,355,0,0,2,1,2,2,1,1,2
"482","Medina","20",40955,40276,34133,39905,40955,38228,36180,40955,679,6822,1050,0,2727,4775,0,0,0,0,0,0,0,0,0
"483","Medina","5_19",10799,8389,7110,8313,8527,7963,7536,8527,2410,3689,2486,2272,2836,3263,2272,0,0,0,0,0,0,0,0
"484","Menard","0_4",84,83,70,82,84,79,75,84,1,14,2,0,5,9,0,0,0,0,0,0,0,0,0
"485","Menard","20",1555,1537,1304,1515,1555,1459,1381,1555,18,251,40,0,96,174,0,0,0,0,0,0,0,0,0
"486","Menard","5_19",319,254,215,250,256,241,228,256,65,104,69,63,78,91,63,0,0,0,0,0,0,0,0
"487","Midland","0_4",14732,14420,12210,14354,14732,13683,12946,14732,312,2522,378,0,1049,1786,0,0,8,7,8,8,7,7,8
"488","Midland","20",120913,118350,100213,117812,120913,112304,106258,120913,2563,20700,3101,0,8609,14655,0,0,0,0,0,0,0,0,0
"489","Midland","5_19",41463,33920,28720,33761,34658,32186,30453,34658,7543,12743,7702,6805,9277,11010,6805,0,0,0,0,0,0,0,0
"490","Milam","0_4",1468,1437,1217,1430,1468,1363,1290,1468,31,251,38,0,105,178,0,0,1,1,1,1,1,1,1
"491","Milam","20",19439,19026,16110,18940,19439,18054,17082,19439,413,3329,499,0,1385,2357,0,0,0,0,0,0,0,0,0
"492","Milam","5_19",5044,3973,3365,3957,4056,3770,3568,4056,1071,1679,1087,988,1274,1476,988,0,0,0,0,0,0,0,0
"493","Mills","0_4",203,198,167,198,203,187,177,203,5,36,5,0,16,26,0,0,0,0,0,0,0,0,0
"494","Mills","20",3538,3442,2912,3447,3538,3266,3089,3538,96,626,91,0,272,449,0,0,0,0,0,0,0,0,0
"495","Mills","5_19",807,640,541,641,651,607,574,654,167,266,166,156,200,233,153,0,0,0,0,0,0,0,0
"496","Mitchell","0_4",409,403,341,399,409,382,362,409,6,68,10,0,27,47,0,0,0,0,0,0,0,0,0
"497","Mitchell","20",7045,6937,5880,6864,7045,6584,6232,7045,108,1165,181,0,461,813,0,0,0,0,0,0,0,0,0
"498","Mitchell","5_19",1621,1275,1080,1262,1289,1210,1145,1293,346,541,359,332,411,476,328,0,0,0,0,0,0,0,0
"499","Montague","0_4",1150,1076,903,1121,1122,1018,961,1133,74,247,29,28,132,189,17,0,1,0,1,1,0,0,1
"500","Montague","20",16258,15210,12771,15841,15844,14397,13584,16023,1048,3487,417,414,1861,2674,235,0,0,0,0,0,0,0,0
"501","Montague","5_19",4190,3237,2720,3364,3390,3064,2892,3371,953,1470,826,800,1126,1298,819,0,0,0,0,0,0,0,0
"502","Montgomery","0_4",44855,43266,36538,43705,44855,41024,38781,44855,1589,8317,1150,0,3831,6074,0,0,23,20,23,23,22,21,24
"503","Montgomery","20",510814,492723,416101,497712,510814,467182,441641,510814,18091,94713,13102,0,43632,69173,0,0,0,0,0,0,0,0,0
"504","Montgomery","5_19",155685,123120,103985,124377,126649,116742,110363,127409,32565,51700,31308,29036,38943,45322,28276,0,0,0,0,0,0,0,0
"505","Moore","0_4",1964,1944,1650,1914,1964,1846,1748,1964,20,314,50,0,118,216,0,0,1,1,1,1,1,1,1
"506","Moore","20",13861,13721,11642,13505,13861,13028,12335,13861,140,2219,356,0,833,1526,0,0,0,0,0,0,0,0,0
"507","Moore","5_19",5365,4348,3689,4280,4393,4128,3909,4393,1017,1676,1085,972,1237,1456,972,0,0,0,0,0,0,0,0
"508","Morris","0_4",640,632,536,624,640,600,568,640,8,104,16,0,40,72,0,0,0,0,0,0,0,0,0
"509","Morris","20",9059,8942,7583,8827,9059,8489,8036,9059,117,1476,232,0,570,1023,0,0,0,0,0,0,0,0,0
"510","Morris","5_19",2367,1907,1618,1883,1931,1811,1714,1931,460,749,484,436,556,653,436,0,0,0,0,0,0,0,0
"511","Motley","0_4",54,51,43,53,54,49,46,54,3,11,1,0,5,8,0,0,0,0,0,0,0,0,0
"512","Motley","20",798,760,640,778,798,720,680,798,38,158,20,0,78,118,0,0,0,0,0,0,0,0,0
"513","Motley","5_19",168,119,101,122,123,113,107,122,49,67,46,45,55,61,46,0,0,0,0,0,0,0,0
"514","Nacogdoches","0_4",4145,4070,3448,4039,4145,3863,3656,4145,75,697,106,0,282,489,0,0,2,2,2,2,2,2,2
"515","Nacogdoches","20",46381,45543,38586,45191,46381,43224,40905,46381,838,7795,1190,0,3157,5476,0,0,0,0,0,0,0,0,0
"516","Nacogdoches","5_19",14849,10111,8567,10035,10294,9596,9081,10294,4738,6282,4814,4555,5253,5768,4555,0,0,0,0,0,0,0,0
"517","Navarro","0_4",3720,3662,3104,3625,3720,3476,3290,3720,58,616,95,0,244,430,0,0,2,2,2,2,2,2,2
"518","Navarro","20",38994,38382,32533,37994,38994,36432,34483,38994,612,6461,1000,0,2562,4511,0,0,0,0,0,0,0,0,0
"519","Navarro","5_19",12921,10134,8590,10032,10292,9619,9105,10292,2787,4331,2889,2629,3302,3816,2629,0,0,0,0,0,0,0,0
"520","Newton","0_4",591,564,475,576,591,534,505,591,27,116,15,0,57,86,0,0,0,0,0,0,0,0,0
"521","Newton","20",9444,9011,7594,9202,9444,8538,8066,9444,433,1850,242,0,906,1378,0,0,0,0,0,0,0,0,0
"522","Newton","5_19",2004,1565,1320,1595,1613,1484,1402,1616,439,684,409,391,520,602,388,0,0,0,0,0,0,0,0
"523","Nolan","0_4",889,874,741,866,889,829,785,889,15,148,23,0,60,104,0,0,0,0,0,0,0,0,0
"524","Nolan","20",10327,10151,8602,10062,10327,9635,9119,10327,176,1725,265,0,692,1208,0,0,0,0,0,0,0,0,0
"525","Nolan","5_19",3090,2412,2044,2391,2441,2290,2167,2446,678,1046,699,649,800,923,644,0,0,0,0,0,0,0,0
"526","Nueces","0_4",21586,21268,18030,21032,21586,20188,19109,21586,318,3556,554,0,1398,2477,0,0,12,10,11,12,11,10,12
"527","Nueces","20",259391,255565,216656,252738,259391,242595,229626,259391,3826,42735,6653,0,16796,29765,0,0,0,0,0,0,0,0,0
"528","Nueces","5_19",71312,55787,47296,55186,56608,52957,50126,56608,15525,24016,16126,14704,18355,21186,14704,0,0,0,0,0,0,0,0
"529","Ochiltree","0_4",746,732,620,727,746,695,657,746,14,126,19,0,51,89,0,0,0,0,0,0,0,0,0
"530","Ochiltree","20",6461,6339,5370,6295,6461,6016,5693,6461,122,1091,166,0,445,768,0,0,0,0,0,0,0,0,0
"531","Ochiltree","5_19",2497,1943,1645,1930,1970,1844,1744,1979,554,852,567,527,653,753,518,0,0,0,0,0,0,0,0
"532","Oldham","0_4",82,77,65,80,80,73,69,81,5,17,2,2,9,13,1,0,0,0,0,0,0,0,0
"533","Oldham","20",1371,1291,1086,1336,1336,1223,1154,1360,80,285,35,35,148,217,11,0,0,0,0,0,0,0,0
"534","Oldham","5_19",330,257,217,267,269,244,230,268,73,113,63,61,86,100,62,0,0,0,0,0,0,0,0
"535","Orange","0_4",5556,5317,4484,5413,5556,5039,4761,5556,239,1072,143,0,517,795,0,0,3,2,3,3,3,3,3
"536","Orange","20",61899,59236,49951,60311,61899,56141,53046,61899,2663,11948,1588,0,5758,8853,0,0,0,0,0,0,0,0,0
"537","Orange","5_19",18267,14513,12240,14773,14970,13755,12998,15035,3754,6027,3494,3297,4512,5269,3232,0,0,0,0,0,0,0,0
"538","Palo Pinto","0_4",1780,1725,1458,1734,1780,1636,1547,1780,55,322,46,0,144,233,0,0,1,1,1,1,1,1,1
"539","Palo Pinto","20",22206,21515,18184,21636,22206,20404,19294,22206,691,4022,570,0,1802,2912,0,0,0,0,0,0,0,0,0
"540","Palo Pinto","5_19",5761,4566,3859,4592,4676,4330,4095,4703,1195,1902,1169,1085,1431,1666,1058,0,0,0,0,0,0,0,0
"541","Panola","0_4",1329,1294,1095,1295,1329,1228,1161,1329,35,234,34,0,101,168,0,0,1,1,1,1,1,1,1
"542","Panola","20",16955,16511,13968,16520,16955,15664,14816,16955,444,2987,435,0,1291,2139,0,0,0,0,0,0,0,0,0
"543","Panola","5_19",4554,3535,2991,3536,3591,3354,3172,3619,1019,1563,1018,963,1200,1382,935,0,0,0,0,0,0,0,0
"544","Parker","0_4",10164,9681,8156,9903,10164,9172,8664,10164,483,2008,261,0,992,1500,0,0,5,4,5,5,5,4,5
"545","Parker","20",127166,121117,102042,123904,127166,114759,108401,127166,6049,25124,3262,0,12407,18765,0,0,0,0,0,0,0,0,0
"546","Parker","5_19",36164,28467,23987,29117,29505,26974,25481,29628,7697,12177,7047,6659,9190,10683,6536,0,0,0,0,0,0,0,0
"547","Parmer","0_4",697,684,579,679,697,649,614,697,13,118,18,0,48,83,0,0,0,0,0,0,0,0,0
"548","Parmer","20",6660,6535,5536,6489,6660,6202,5869,6660,125,1124,171,0,458,791,0,0,0,0,0,0,0,0,0
"549","Parmer","5_19",2260,1790,1516,1778,1823,1699,1608,1823,470,744,482,437,561,652,437,0,0,0,0,0,0,0,0
"550","Pecos","0_4",920,891,753,896,920,845,799,920,29,167,24,0,75,121,0,0,0,0,1,1,0,0,0
"551","Pecos","20",10624,10285,8691,10352,10624,9754,9223,10624,339,1933,272,0,870,1401,0,0,0,0,0,0,0,0,0
"552","Pecos","5_19",3079,2423,2049,2435,2479,2299,2174,2458,656,1030,644,600,780,905,621,0,0,0,0,0,0,0,0
"553","Polk","0_4",2734,2686,2276,2664,2734,2550,2413,2734,48,458,70,0,184,321,0,0,1,1,1,1,1,1,1
"554","Polk","20",42092,41357,35043,41012,42092,39253,37148,42092,735,7049,1080,0,2839,4944,0,0,0,0,0,0,0,0,0
"555","Polk","5_19",9360,7603,6443,7539,7700,7216,6829,7723,1757,2917,1821,1660,2144,2531,1637,0,0,0,0,0,0,0,0
"556","Potter","0_4",7874,7716,6535,7672,7874,7323,6929,7874,158,1339,202,0,551,945,0,0,4,4,4,4,4,4,4
"557","Potter","20",81177,79551,67374,79095,81177,75492,71433,81177,1626,13803,2082,0,5685,9744,0,0,0,0,0,0,0,0,0
"558","Potter","5_19",25596,20474,17341,20362,20886,19430,18385,20886,5122,8255,5234,4710,6166,7211,4710,0,0,0,0,0,0,0,0
"559","Presidio","0_4",403,398,337,393,403,377,357,403,5,66,10,0,26,46,0,0,0,0,0,0,0,0,0
"560","Presidio","20",4060,4005,3396,3956,4060,3802,3599,4060,55,664,104,0,258,461,0,0,0,0,0,0,0,0,0
"561","Presidio","5_19",1332,1064,903,1050,1073,1010,956,1074,268,429,282,259,322,376,258,0,0,0,0,0,0,0,0
"562","Rains","0_4",626,595,501,610,626,563,532,626,31,125,16,0,63,94,0,0,0,0,0,0,0,0,0
"563","Rains","20",10184,9676,8148,9923,10184,9166,8657,10184,508,2036,261,0,1018,1527,0,0,0,0,0,0,0,0,0
"564","Rains","5_19",2176,1559,1313,1599,1620,1477,1395,1618,617,863,577,556,699,781,558,0,0,0,0,0,0,0,0
"565","Randall","0_4",8875,8567,7235,8647,8875,8123,7679,8875,308,1640,228,0,752,1196,0,0,5,4,5,5,5,4,5
"566","Randall","20",108664,104889,88589,105877,108664,99456,94022,108664,3775,20075,2787,0,9208,14642,0,0,0,0,0,0,0,0,0
"567","Randall","5_19",30716,23288,19671,23513,23943,22082,20877,24073,7428,11045,7203,6773,8634,9839,6643,0,0,0,0,0,0,0,0
"568","Reagan","0_4",235,234,199,229,235,223,211,235,1,36,6,0,12,24,0,0,0,0,0,0,0,0,0
"569","Reagan","20",2166,2161,1836,2110,2166,2053,1944,2166,5,330,56,0,113,222,0,0,0,0,0,0,0,0,0
"570","Reagan","5_19",740,599,509,585,600,569,539,600,141,231,155,140,171,201,140,0,0,0,0,0,0,0,0
"571","Red River","0_4",632,616,521,616,632,584,553,632,16,111,16,0,48,79,0,0,0,0,0,0,0,0,0
"572","Red River","20",9070,8841,7481,8837,9070,8388,7934,9070,229,1589,233,0,682,1136,0,0,0,0,0,0,0,0,0
"573","Red River","5_19",1976,1611,1364,1609,1639,1529,1446,1644,365,612,367,337,447,530,332,0,0,0,0,0,0,0,0
"574","Reeves","0_4",874,862,731,852,874,818,774,874,12,143,22,0,56,100,0,0,0,0,0,0,0,0,0
"575","Reeves","20",8186,8071,6843,7976,8186,7662,7252,8186,115,1343,210,0,524,934,0,0,0,0,0,0,0,0,0
"576","Reeves","5_19",2710,2188,1855,2163,2218,2077,1966,2218,522,855,547,492,633,744,492,0,0,0,0,0,0,0,0
"577","Refugio","0_4",290,282,238,283,290,267,253,290,8,52,7,0,23,37,0,0,0,0,0,0,0,0,0
"578","Refugio","20",5035,4891,4136,4906,5035,4639,4388,5035,144,899,129,0,396,647,0,0,0,0,0,0,0,0,0
"579","Refugio","5_19",1341,1043,882,1046,1070,989,935,1071,298,459,295,271,352,406,270,0,0,0,0,0,0,0,0
"580","Roberts","0_4",54,54,46,53,54,51,49,54,0,8,1,0,3,5,0,0,0,0,0,0,0,0,0
"581","Roberts","20",617,617,524,601,617,586,555,617,0,93,16,0,31,62,0,0,0,0,0,0,0,0,0
"582","Roberts","5_19",169,139,118,136,139,132,125,139,30,51,33,30,37,44,30,0,0,0,0,0,0,0,0
"583","Robertson","0_4",1099,1085,921,1071,1099,1030,975,1099,14,178,28,0,69,124,0,0,1,0,1,1,1,0,1
"584","Robertson","20",12743,12585,10674,12416,12743,11948,11311,12743,158,2069,327,0,795,1432,0,0,0,0,0,0,0,0,0
"585","Robertson","5_19",3425,2766,2346,2729,2800,2626,2486,2800,659,1079,696,625,799,939,625,0,0,0,0,0,0,0,0
"586","Rockwall","0_4",7887,7518,6335,7685,7887,7123,6729,7887,369,1552,202,0,764,1158,0,0,4,3,4,4,4,3,4
"587","Rockwall","20",93340,88969,74968,90946,93340,84302,79635,93340,4371,18372,2394,0,9038,13705,0,0,0,0,0,0,0,0,0
"588","Rockwall","5_19",30080,23539,19840,24053,24327,22306,21073,24482,6541,10240,6027,5753,7774,9007,5598,0,0,0,0,0,0,0,0
"589","Runnels","0_4",604,592,501,589,604,562,532,604,12,103,15,0,42,72,0,0,0,0,0,0,0,0,0
"590","Runnels","20",7314,7169,6072,7126,7314,6803,6437,7314,145,1242,188,0,511,877,0,0,0,0,0,0,0,0,0
"591","Runnels","5_19",1950,1558,1320,1549,1577,1478,1399,1586,392,630,401,373,472,551,364,0,0,0,0,0,0,0,0
"592","Rusk","0_4",2818,2753,2330,2746,2818,2612,2471,2818,65,488,72,0,206,347,0,0,1,1,1,1,1,1,1
"593","Rusk","20",39866,38946,32967,38843,39866,36953,34960,39866,920,6899,1023,0,2913,4906,0,0,0,0,0,0,0,0,0
"594","Rusk","5_19",10395,8270,7002,8244,8416,7847,7424,8437,2125,3393,2151,1979,2548,2971,1958,0,0,0,0,0,0,0,0
"595","Sabine","0_4",530,514,434,516,530,487,461,530,16,96,14,0,43,69,0,0,0,0,0,0,0,0,0
"596","Sabine","20",8123,7877,6659,7915,8123,7471,7065,8123,246,1464,208,0,652,1058,0,0,0,0,0,0,0,0,0
"597","Sabine","5_19",1453,1141,965,1147,1164,1082,1024,1172,312,488,306,289,371,429,281,0,0,0,0,0,0,0,0
"598","San Augustine","0_4",415,402,339,404,415,381,360,415,13,76,11,0,34,55,0,0,0,0,0,0,0,0,0
"599","San Augustine","20",6099,5904,4989,5943,6099,5599,5294,6099,195,1110,156,0,500,805,0,0,0,0,0,0,0,0,0
"600","San Augustine","5_19",1319,1061,897,1069,1086,1007,952,1091,258,422,250,233,312,367,228,0,0,0,0,0,0,0,0
"601","San Jacinto","0_4",1491,1455,1231,1453,1491,1380,1306,1491,36,260,38,0,111,185,0,0,1,1,1,1,1,1,1
"602","San Jacinto","20",22161,21626,18302,21593,22161,20518,19410,22161,535,3859,568,0,1643,2751,0,0,0,0,0,0,0,0,0
"603","San Jacinto","5_19",5284,4189,3545,4183,4280,3974,3760,4289,1095,1739,1101,1004,1310,1524,995,0,0,0,0,0,0,0,0
"604","San Patricio","0_4",4640,4577,3881,4521,4640,4345,4113,4640,63,759,119,0,295,527,0,0,2,2,2,2,2,2,2
"605","San Patricio","20",50652,49964,42366,49353,50652,47431,44899,50652,688,8286,1299,0,3221,5753,0,0,0,0,0,0,0,0,0
"606","San Patricio","5_19",15368,12256,10393,12109,12424,11635,11014,12424,3112,4975,3259,2944,3733,4354,2944,0,0,0,0,0,0,0,0
"607","San Saba","0_4",263,257,217,256,263,243,230,263,6,46,7,0,20,33,0,0,0,0,0,0,0,0,0
"608","San Saba","20",4607,4495,3804,4489,4607,4264,4034,4607,112,803,118,0,343,573,0,0,0,0,0,0,0,0,0
"609","San Saba","5_19",975,765,647,764,782,725,686,784,210,328,211,193,250,289,191,0,0,0,0,0,0,0,0
"610","Schleicher","0_4",152,152,129,148,152,144,137,152,0,23,4,0,8,15,0,0,0,0,0,0,0,0,0
"611","Schleicher","20",1753,1753,1490,1708,1753,1665,1578,1753,0,263,45,0,88,175,0,0,0,0,0,0,0,0,0
"612","Schleicher","5_19",486,353,300,345,353,335,318,353,133,186,141,133,151,168,133,0,0,0,0,0,0,0,0
"613","Scurry","0_4",1033,1023,868,1007,1033,971,919,1033,10,165,26,0,62,114,0,0,1,0,1,1,1,0,1
"614","Scurry","20",11489,11373,9650,11194,11489,10799,10224,11489,116,1839,295,0,690,1265,0,0,0,0,0,0,0,0,0
"615","Scurry","5_19",3690,2893,2455,2848,2922,2747,2601,2922,797,1235,842,768,943,1089,768,0,0,0,0,0,0,0,0
"616","Shackelford","0_4",177,166,139,172,173,157,148,174,11,38,5,4,20,29,3,0,0,0,0,0,0,0,0
"617","Shackelford","20",2407,2251,1890,2345,2346,2131,2011,2372,156,517,62,61,276,396,35,0,0,0,0,0,0,0,0
"618","Shackelford","5_19",645,475,399,495,502,450,424,495,170,246,150,143,195,221,150,0,0,0,0,0,0,0,0
"619","Shelby","0_4",1709,1675,1418,1665,1709,1589,1504,1709,34,291,44,0,120,205,0,0,1,1,1,1,1,1,1
"620","Shelby","20",17212,16865,14283,16771,17212,16004,15144,17212,347,2929,441,0,1208,2068,0,0,0,0,0,0,0,0,0
"621","Shelby","5_19",5258,4204,3561,4180,4272,3989,3775,4283,1054,1697,1078,986,1269,1483,975,0,0,0,0,0,0,0,0
"622","Sherman","0_4",194,189,160,189,194,179,170,194,5,34,5,0,15,24,0,0,0,0,0,0,0,0,0
"623","Sherman","20",1872,1824,1543,1824,1872,1730,1637,1872,48,329,48,0,142,235,0,0,0,0,0,0,0,0,0
"624","Sherman","5_19",612,474,402,474,485,450,426,482,138,210,138,127,162,186,130,0,0,0,0,0,0,0,0
"625","Smith","0_4",15134,14633,12363,14746,15134,13876,13120,15134,501,2771,388,0,1258,2014,0,0,8,7,8,8,7,7,8
"626","Smith","20",179320,173385,146487,174721,179320,164419,155453,179320,5935,32833,4599,0,14901,23867,0,0,0,0,0,0,0,0,0
"627","Smith","5_19",50755,38980,32934,39279,39891,36965,34949,40170,11775,17821,11476,10864,13790,15806,10585,0,0,0,0,0,0,0,0
"628","Somervell","0_4",506,483,407,493,506,458,432,506,23,99,13,0,48,74,0,0,0,0,0,0,0,0,0
"629","Somervell","20",7552,7209,6077,7358,7552,6832,6454,7552,343,1475,194,0,720,1098,0,0,0,0,0,0,0,0,0
