CTYNAME,0_4,5_19,20_,Cum_inf,Cum_inf_low,Cum_inf_high,Cum_inf_0,Cum_inf_0_low,Cum_inf_0_high,Cum_inf_1,Cum_inf_1_low,Cum_inf_1_high,Cum_inf_2,Cum_inf_2_low,Cum_inf_2_high,Cum_Hosp,Cum_Hosp_low,Cum_Hosp_high,Cum_Hosp_0,Cum_Hosp_0_low,Cum_Hosp_0_high,Cum_Hosp_1,Cum_Hosp_1_low,Cum_Hosp_1_high,Cum_Hosp_2,Cum_Hosp_2_low,Cum_Hosp_2_high
McMullen,27,113,428,6.270579109943896,5.586115255481872,6.936431143390925,1.555589995389876,1.3885472163538732,1.7230551652943085,3.6988612603405153,3.2929660517425208,4.08761210186228,1.003923878987024,0.8809994218044149,1.1410019555944417,1.1954512974514873,1.0482268821475687,1.3370266845555905,0.45193367520399286,0.39152408560346974,0.5043687280772201,0.5771444031493973,0.5068467467209068,0.6439684124148907,0.17045197079142646,0.14735198813837475,0.20086055163513875
Medina,3043,10799,40955,372.68629290645987,329.02293203015904,411.20018779155623,130.3842480705219,115.331589692235,143.86941634087998,203.93993787272098,179.90503969902355,224.09060402092334,37.78881914544405,32.51830407932036,42.875055375310254,70.10453170463984,61.51255955786012,78.51620078661213,37.34528667928704,32.660987476338505,41.87593429051683,26.49076465473516,23.463117439169913,29.568597490744324,6.306480400469056,5.290475808502638,7.208392391867334
Menard,84,319,1555,11.37692764972323,10.071240799961934,12.753613940924714,3.8553790578137868,3.4188051698115745,4.327433510881368,6.033697988136169,5.344447794132758,6.734936925244441,1.4831633997019789,1.2868990006257652,1.7000760544207059,2.2423378046230242,1.9871147990441127,2.5561530598968294,1.114425965258067,0.9919128609080654,1.2684025073221894,0.8758527840668215,0.7721660696322687,0.987798823354278,0.2529150318415875,0.215607100701088,0.2943933174228922
Midland,14732,41463,120913,722.266935358223,604.8577061571822,839.0316288256209,303.85814828537116,253.33866775944458,356.5610959506032,368.38213830146367,313.17453726299067,424.2133334995101,49.36298844968379,40.168793387058535,59.980252340508486,136.96593553239464,115.42556817628054,162.5973771560024,83.43818907736286,70.12017461848275,100.53409037499452,45.49564286255425,38.68316737194932,52.97780328064921,7.821776184072013,6.281015916308309,9.80281420097116
Milam,1468,5044,19439,173.97252163160772,155.41540399142784,191.4115967406487,62.914875413287035,55.82304076344829,69.34543068862175,91.4990351060413,82.02446116066632,100.32556884895764,19.61263617725791,17.184176729129096,22.26637036454966,33.249795329002076,29.102213468589497,37.22804634211045,18.061419716288164,15.847281510859652,20.26631744013201,11.882523875144393,10.48979787344276,13.247784445299102,3.2898151634843678,2.7908824540476243,3.8222533205781404
Mills,203,807,3538,28.828102825764937,25.626558851960215,31.448475331749556,9.230516228951913,8.226930912833136,10.095084306185509,15.095979219542883,13.41795310940866,16.61036591926993,4.431013852789517,3.8684834415204294,4.937602961918333,5.489627363519709,4.840021810602009,6.06900495488561,2.6650448536020583,2.3519435896604324,2.9550746994573647,2.0572777134280518,1.8064615775371267,2.2804445824155937,0.7495135871548011,0.647001602704412,0.8463688185696027
Mitchell,409,1621,7045,56.00623701900653,48.48583135208576,61.72082497225013,18.140157104521556,15.740778429537068,20.016600778661648,30.902633185503127,26.828271574492693,33.92807556945961,6.910604188964944,5.967723801358547,7.738679284813554,10.533327988260128,9.025129716259945,11.658992493198268,5.237053966573631,4.46137211052135,5.809464375140414,4.112119103393541,3.545462765181186,4.538342135181319,1.1675537516253827,0.9999959541915003,1.3145531489313425
Montague,1150,4190,16258,175.7407434931675,157.63905071948335,194.57270159137576,54.951590694653284,49.26804639388209,61.08374798226353,85.9864241874065,77.34493438462634,94.60006223449658,34.838807872275765,31.064771473678256,39.663683517822676,32.88390103058232,29.35066417971866,36.78203521088831,15.848764394395989,14.14336156276807,17.6624528815592,11.168442608428546,9.993863980261734,12.50341277826466,5.873133701618169,5.116156980889744,6.7839262196714465
Montgomery,44855,155685,510814,3052.944667818393,2456.3360459983023,3491.70108234176,1005.3432364446239,800.5906530610866,1165.8793880211374,1739.578203827143,1413.0580508049318,1984.1669835852024,303.72355631643995,242.98918829155517,362.50788754959257,532.4439906837122,417.35567871610345,620.0261643452636,274.65418546418005,214.3547022638345,320.07611282336666,210.68460723264553,166.4400651290732,247.7839621533424,47.338630596371075,36.68260153652735,57.775188782411504
Moore,1964,5365,13861,159.32253530708022,142.00734243348646,177.31078062805233,71.87773479838467,63.863389615014604,80.52799920470022,78.45098174414889,69.8964592039165,86.98011842233473,8.897239886449707,7.631187985788944,9.985851229205347,32.15938825185329,28.003794589358534,36.38702588884756,20.54957403114553,17.899038679520533,23.229808046018487,10.145007503673085,8.95325310680073,11.468401361996726,1.476584281412975,1.2441814743451436,1.7066750331924458
Morris,640,2367,9059,71.57916849445252,63.286914952783334,79.58505910589518,25.843978123826243,22.801556632604758,28.59683165788373,38.467300517833934,34.179558333444746,42.74465067537001,7.235979634462307,6.340121461888766,8.094837422498927,13.679787726303813,12.06784865453034,15.166249219992492,7.4210641998418065,6.497736283004847,8.191643903029972,5.075140060715016,4.494915534554069,5.623949414016471,1.2229680003575487,1.0432919229004962,1.3704950368606212
Motley,54,168,798,9.7807230536579,8.712850148810498,10.715574995476238,2.9907913094467506,2.681350917490108,3.283465463218984,4.766316946317286,4.271148441480132,5.219773231657535,1.9930225951361396,1.7221278569305942,2.2535093553146663,1.9171053283651793,1.6979029153604919,2.1308764626345877,0.8653717170737558,0.7702029685998993,0.9570354385211258,0.7147701802927103,0.6337964626892545,0.7935474422694202,0.3387686045344835,0.28704188278376525,0.38715307871817123
Nacogdoches,4145,14849,46381,731.7167286728552,643.0423859317494,819.564099084687,221.61561086730768,194.65531188798934,248.82729964997068,444.3240296241796,391.5647437828535,493.81761321667716,66.78045490043685,57.31637677307889,76.02998439346241,132.32234254844087,116.48735345493812,149.6381280981716,63.6971612644155,56.16383627215599,71.69959002196572,57.55753592945592,50.32017718414569,65.34017107384025,11.254412406245551,9.516766513220489,13.137804412927158
Navarro,3720,12921,38994,413.67300655550514,365.82248337542836,459.16409244354975,150.35475619158876,132.3369573672033,167.51428294503302,230.47078991206774,203.67205372825353,254.45680914463145,32.76712067391986,29.094939759397903,37.213133978809815,77.66945401071327,67.80664018865433,87.83984564855672,42.73408414036601,37.3118269922674,48.224663775096126,29.619686381814823,26.16758229116948,33.35398867983397,5.41510631002803,4.697041498395689,6.212469421879852
Newton,591,2004,9444,83.40477926215348,74.09570727059632,90.915843136973,27.635848463916794,24.616979888250814,30.10780540328116,39.66098600644321,35.28607544763187,43.06533664579852,16.156275906062753,14.188757914421839,17.973894150143288,15.994985495878366,14.00475951070627,17.480361066339405,7.9788412910927775,7.001823199513452,8.783829537163559,5.238995225584747,4.64738876531702,5.74397478153138,2.7339261591917206,2.3595490311266425,3.071280777257974
Nolan,889,3090,10327,110.26557195046908,97.26741249932451,121.041363866681,39.53269687855063,34.66007045478881,43.40526915144645,60.290186703442295,53.26144866720332,66.12314925372279,10.496041415840011,9.115885864877912,11.777299072622323,21.171659069325973,18.30053598822616,23.3697530587219,11.444038442589108,9.885459635302487,12.592268084994231,7.961341825344354,6.875081966164599,8.842699879131855,1.7759515508485193,1.5244719479907785,1.999195356472199
Nueces,21586,71312,259391,1859.6814868602219,1622.2980194270867,2076.9583952671705,659.7474855652579,575.8293045779163,745.1923033590816,1047.5455139015437,920.3245213097086,1161.508368819309,152.16986855989876,127.44427351263583,174.520146132445,335.70166245829614,290.4018921051174,383.41615292333813,181.77320607822816,156.2874541690367,208.3335045719354,129.25049460303597,113.24434642355085,148.37242957322613,24.03254964684215,19.848103930117695,28.51694610510032
